,MUNICIPIO,OCORRÊNCIAS DE PORTE DE ENTORPECENTES,OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,Nº DE ARMAS DE FOGO APREENDIDAS,Nº DE FLAGRANTES LAVRADOS,Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,Nº DE INFRATORES APREENDIDOS POR MANDADO,Nº DE PESSOAS PRESAS EM FLAGRANTE,Nº DE PESSOAS PRESAS POR MANDADO,Nº DE PRISÕES EFETUADAS,Nº DE VEÍCULOS RECUPERADOS,TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS
0,Guará,18,12,0,13,23,38,8,7,51,57,38,8,245
0,Guaraçaí,4,0,1,5,6,8,0,0,11,34,42,0,53
0,Guaraci,4,4,0,5,11,39,12,0,46,11,39,2,105
0,Guarani d'Oeste,1,0,0,3,4,2,0,0,3,3,2,0,8
0,Guarantã,3,2,2,0,10,11,2,0,20,3,14,6,45
0,Guararapes,7,7,0,15,16,38,2,3,47,74,107,1,319
0,Guararema,7,8,0,11,15,38,3,0,49,34,72,39,184
0,Guaratinguetá,143,52,2,26,57,212,12,6,268,189,441,34,1.733
0,Guareí,0,1,4,4,5,6,0,1,6,15,7,8,62
0,Guariba,27,6,6,15,21,51,1,2,60,45,58,12,218
0,Guarujá,190,116,16,129,256,552,23,3,641,383,892,300,1.624
0,Guarulhos,51,254,84,256,828,1.310,274,48,1.699,358,2.210,2.036,7.539
0,Guatapará,2,2,0,4,7,11,0,0,16,9,14,8,45
0,Guzolândia,2,0,0,1,5,6,0,0,8,7,15,0,38
